t_s,user_id,step,latency_ms,ok,error
0.041442,10000,start,40.682,1,
0.087619,10000,new_chat,46.084,1,
0.135161,10001,start,32.045,1,
0.182211,10001,new_chat,46.975,1,
0.244120,10002,start,30.754,1,
0.292085,10002,new_chat,47.893,1,
0.338270,10003,start,30.688,1,
0.384161,10003,new_chat,45.823,1,
0.384570,10000,chat_msg,296.851,1,
0.446654,10004,start,31.141,1,
0.493418,10001,chat_msg,311.113,1,
0.493504,10004,new_chat,46.774,1,
0.540912,10005,start,31.518,1,
0.587833,10005,new_chat,46.848,1,
0.603169,10002,chat_msg,310.995,1,
0.634366,10006,start,31.568,1,
0.680967,10006,new_chat,46.519,1,
0.697014,10003,chat_msg,312.786,1,
0.744303,10007,start,31.548,1,
0.791219,10007,new_chat,46.830,1,
0.791694,10004,chat_msg,298.143,1,
0.839357,10008,start,32.201,1,
0.887451,10008,new_chat,48.023,1,
0.887903,10005,chat_msg,299.997,1,
0.887957,10000,chat_msg,300.663,1,
0.935536,10009,start,31.838,1,
0.983240,10009,new_chat,47.613,1,
0.983636,10006,chat_msg,302.580,1,
1.000251,10001,chat_msg,303.619,1,
1.051922,10010,start,50.071,1,
1.094322,10007,chat_msg,302.998,1,
1.094430,10010,new_chat,42.400,1,
1.110058,10002,chat_msg,302.565,1,
1.155108,10011,start,45.765,1,
1.185999,10008,chat_msg,298.474,1,
1.201420,10011,new_chat,46.212,1,
1.201882,10003,chat_msg,298.540,1,
1.246433,10012,start,44.242,1,
1.292646,10009,chat_msg,309.335,1,
1.292742,10012,new_chat,46.207,1,
1.323261,10004,chat_msg,323.545,1,
1.353008,10013,start,45.034,1,
1.400330,10013,new_chat,47.257,1,
1.400630,10000,chat_msg,306.716,1,
1.446410,10005,chat_msg,353.198,1,
1.446488,10010,chat_msg,351.999,1,
1.446534,10014,start,45.099,1,
1.493184,10006,chat_msg,307.655,1,
1.493283,10014,new_chat,46.679,1,
1.508827,10011,chat_msg,307.331,1,
1.508884,10001,chat_msg,306.944,1,
1.540238,10015,start,31.886,1,
1.589343,10015,new_chat,49.019,1,
1.605996,10012,chat_msg,313.183,1,
1.634831,10007,chat_msg,327.252,1,
1.634923,10002,chat_msg,312.122,1,
1.650012,10016,start,44.418,1,
1.699132,10016,new_chat,49.029,1,
1.699387,10013,chat_msg,299.002,1,
1.699438,10008,chat_msg,299.690,1,
1.699475,10003,chat_msg,297.437,1,
1.760187,10017,start,46.342,1,
1.791683,10014,chat_msg,298.334,1,
1.791751,10009,chat_msg,297.996,1,
1.807708,10017,new_chat,47.430,1,
1.823157,10004,chat_msg,299.125,1,
1.839254,10018,start,31.937,1,
1.885226,10018,new_chat,45.928,1,
1.885853,10015,chat_msg,296.438,1,
1.901346,10000,chat_msg,297.019,1,
1.932717,10019,start,30.956,1,
1.963957,10005,chat_msg,313.388,1,
1.964036,10010,chat_msg,313.256,1,
1.979541,10019,new_chat,46.770,1,
2.010723,10016,chat_msg,311.541,1,
2.010794,10006,chat_msg,312.121,1,
2.010847,10011,chat_msg,296.560,1,
2.010894,10001,chat_msg,296.388,1,
2.041565,10020,start,31.236,1,
2.088921,10020,new_chat,47.294,1,
2.119444,10017,chat_msg,311.691,1,
2.119549,10012,chat_msg,311.595,1,
2.135022,10021,start,31.754,1,
2.135511,10007,chat_msg,297.182,1,
2.135574,10002,chat_msg,296.599,1,
2.181609,10021,new_chat,46.511,1,
2.197374,10018,chat_msg,312.059,1,
2.197453,10008,chat_msg,296.059,1,
2.197508,10003,chat_msg,295.937,1,
2.197556,10013,chat_msg,296.509,1,
2.259156,10022,start,46.395,1,
2.290619,10019,chat_msg,310.979,1,
2.290703,10014,chat_msg,296.248,1,
2.290754,10009,chat_msg,295.907,1,
2.307092,10022,new_chat,47.854,1,
2.338548,10004,chat_msg,312.994,1,
2.338596,10023,start,31.882,1,
2.384393,10023,new_chat,45.765,1,
2.384785,10020,chat_msg,295.817,1,
2.384831,10015,chat_msg,296.367,1,
2.415109,10000,chat_msg,311.364,1,
2.446478,10024,start,44.766,1,
2.477405,10005,chat_msg,311.670,1,
2.477475,10010,chat_msg,311.369,1,
2.477527,10021,chat_msg,295.838,1,
2.494200,10024,new_chat,47.661,1,
2.524022,10011,chat_msg,310.472,1,
2.524092,10006,chat_msg,310.747,1,
2.524136,10016,chat_msg,310.998,1,
2.524172,10001,chat_msg,310.449,1,
2.539952,10025,start,31.374,1,
2.587029,10025,new_chat,47.028,1,
2.618198,10022,chat_msg,311.053,1,
2.618254,10012,chat_msg,296.103,1,
2.618307,10017,chat_msg,296.547,1,
2.633302,10026,start,31.168,1,
2.649066,10002,chat_msg,310.734,1,
2.649140,10007,chat_msg,311.623,1,
2.649219,10000,exit_chat,31.337,1,
2.681557,10026,new_chat,48.194,1,
2.696656,10023,chat_msg,312.194,1,
2.712874,10013,chat_msg,312.356,1,
2.712926,10008,chat_msg,312.885,1,
2.712966,10018,chat_msg,313.331,1,
2.713002,10003,chat_msg,312.722,1,
2.743728,10027,start,31.232,1,
2.775229,10001,exit_chat,46.825,1,
2.791303,10027,new_chat,47.502,1,
2.791765,10014,chat_msg,298.032,1,
2.791822,10019,chat_msg,298.422,1,
2.791866,10009,chat_msg,297.915,1,
2.791905,10024,chat_msg,297.662,1,
2.839228,10028,start,31.913,1,
2.839773,10004,chat_msg,300.370,1,
2.900206,10028,new_chat,60.906,1,
2.900769,10020,chat_msg,314.184,1,
2.900832,10025,chat_msg,313.748,1,
2.900878,10015,chat_msg,313.563,1,
2.900925,10002,exit_chat,46.621,1,
2.946672,10029,start,45.091,1,
2.962000,10003,exit_chat,45.287,1,
2.992793,10005,chat_msg,312.062,1,
2.992878,10010,chat_msg,311.742,1,
2.992927,10021,chat_msg,311.576,1,
2.992968,10026,chat_msg,311.367,1,
2.994033,10029,new_chat,47.288,1,
3.039527,10006,chat_msg,311.494,1,
3.039634,10016,chat_msg,311.410,1,
3.039702,10011,chat_msg,311.970,1,
3.039760,10030,start,31.155,1,
3.085034,10004,exit_chat,44.789,1,
3.085239,10030,new_chat,45.413,1,
3.101205,10027,chat_msg,309.823,1,
3.132442,10022,chat_msg,309.056,1,
3.132562,10012,chat_msg,308.875,1,
3.132617,10017,chat_msg,308.741,1,
3.148070,10031,start,45.490,1,
3.163577,10007,chat_msg,308.883,1,
3.196444,10031,new_chat,48.293,1,
3.210986,10028,chat_msg,310.692,1,
3.211053,10023,chat_msg,310.068,1,
3.225769,10008,chat_msg,309.598,1,
3.225872,10018,chat_msg,309.419,1,
3.225935,10013,chat_msg,310.291,1,
3.241855,10005,exit_chat,46.330,1,
3.243072,10032,start,32.590,1,
3.288448,10006,exit_chat,46.502,1,
3.288585,10032,new_chat,45.459,1,
3.304797,10024,chat_msg,310.975,1,
3.304860,10014,chat_msg,311.832,1,
3.304904,10029,chat_msg,310.837,1,
3.304945,10009,chat_msg,311.323,1,
3.304985,10019,chat_msg,311.581,1,
3.335391,10033,start,30.903,1,
3.381600,10033,new_chat,46.146,1,
3.397731,10030,chat_msg,312.410,1,
3.397823,10015,chat_msg,295.500,1,
3.397876,10025,chat_msg,295.913,1,
3.397928,10020,chat_msg,296.618,1,
3.397980,10007,exit_chat,32.278,1,
3.459462,10034,start,46.372,1,
3.460856,10008,exit_chat,32.543,1,
3.508264,10010,chat_msg,312.374,1,
3.508339,10031,chat_msg,311.851,1,
3.508390,10021,chat_msg,312.303,1,
3.508433,10026,chat_msg,312.172,1,
3.508481,10034,new_chat,48.907,1,
3.553627,10035,start,46.916,1,
3.554244,10011,chat_msg,311.538,1,
3.554309,10016,chat_msg,311.934,1,
3.554366,10009,exit_chat,46.516,1,
3.585100,10032,chat_msg,296.442,1,
3.601854,10035,new_chat,48.096,1,
3.602144,10027,chat_msg,298.081,1,
3.647026,10012,chat_msg,312.171,1,
3.647118,10017,chat_msg,312.014,1,
3.647169,10022,chat_msg,312.771,1,
3.647213,10036,start,44.845,1,
3.693169,10033,chat_msg,311.477,1,
3.693404,10036,new_chat,46.139,1,
3.725077,10023,chat_msg,311.191,1,
3.725167,10028,chat_msg,311.533,1,
3.725232,10013,chat_msg,296.193,1,
3.725288,10018,chat_msg,296.537,1,
3.740493,10037,start,30.984,1,
3.756301,10010,exit_chat,46.274,1,
3.787417,10037,new_chat,46.839,1,
3.788396,10011,exit_chat,31.914,1,
3.817524,10024,chat_msg,310.311,1,
3.817631,10014,chat_msg,310.174,1,
3.817844,10034,chat_msg,309.323,1,
3.817919,10019,chat_msg,309.888,1,
3.817975,10029,chat_msg,310.314,1,
3.847737,10038,start,45.874,1,
3.893501,10012,exit_chat,45.224,1,
3.894057,10038,new_chat,46.241,1,
3.909116,10015,chat_msg,308.020,1,
3.909179,10025,chat_msg,307.790,1,
3.909224,10035,chat_msg,307.317,1,
3.909266,10030,chat_msg,308.668,1,
3.909306,10020,chat_msg,307.684,1,
3.940916,10039,start,32.278,1,
3.986394,10013,exit_chat,45.955,1,
3.986642,10039,new_chat,45.674,1,
4.001441,10036,chat_msg,307.977,1,
4.032249,10031,chat_msg,321.964,1,
4.032354,10026,chat_msg,321.667,1,
4.032418,10021,chat_msg,321.929,1,
4.033986,10040,start,32.421,1,
4.078614,10016,chat_msg,321.731,1,
4.078725,10014,exit_chat,45.783,1,
4.078855,10040,new_chat,44.827,1,
4.094158,10037,chat_msg,306.684,1,
4.094281,10032,chat_msg,307.276,1,
4.110073,10027,chat_msg,307.760,1,
4.141629,10041,start,32.037,1,
4.157525,10017,chat_msg,308.926,1,
4.157625,10022,chat_msg,308.788,1,
4.157688,10015,exit_chat,47.552,1,
4.188944,10041,new_chat,47.228,1,
4.205074,10038,chat_msg,310.973,1,
4.205145,10033,chat_msg,311.537,1,
4.236307,10042,start,32.030,1,
4.236560,10023,chat_msg,297.017,1,
4.236609,10028,chat_msg,296.474,1,
4.236646,10018,chat_msg,295.973,1,
4.283032,10042,new_chat,46.681,1,
4.298767,10039,chat_msg,312.066,1,
4.314844,10016,exit_chat,32.381,1,
4.344764,10034,chat_msg,311.567,1,
4.344867,10029,chat_msg,311.245,1,
4.344928,10024,chat_msg,312.437,1,
4.344983,10019,chat_msg,311.584,1,
4.345035,10043,start,31.588,1,
4.375827,10040,chat_msg,296.915,1,
4.390749,10043,new_chat,45.650,1,
4.406161,10017,exit_chat,45.696,1,
4.407333,10030,chat_msg,296.476,1,
4.407387,10020,chat_msg,296.341,1,
4.407426,10025,chat_msg,296.996,1,
4.407463,10035,chat_msg,296.804,1,
4.453129,10044,start,46.854,1,
4.498785,10041,chat_msg,309.750,1,
4.498884,10018,exit_chat,46.014,1,
4.498942,10044,new_chat,45.766,1,
4.514784,10036,chat_msg,310.037,1,
4.545780,10031,chat_msg,310.405,1,
4.545871,10026,chat_msg,310.031,1,
4.545920,10021,chat_msg,309.820,1,
4.545969,10045,start,31.663,1,
4.592035,10042,chat_msg,308.935,1,
4.592205,10019,exit_chat,45.185,1,
4.592274,10045,new_chat,46.254,1,
4.608230,10032,chat_msg,309.762,1,
4.608294,10037,chat_msg,310.258,1,
4.623118,10027,chat_msg,309.200,1,
4.638544,10046,start,31.013,1,
4.653782,10020,exit_chat,45.172,1,
4.669822,10022,chat_msg,308.970,1,
4.685417,10046,new_chat,46.786,1,
4.700945,10043,chat_msg,310.118,1,
4.715999,10033,chat_msg,308.943,1,
4.716066,10038,chat_msg,309.329,1,
4.746657,10047,start,45.131,1,
4.761972,10028,chat_msg,309.409,1,
4.762038,10023,chat_msg,309.973,1,
4.792916,10021,exit_chat,45.315,1,
4.793028,10047,new_chat,46.293,1,
4.809227,10044,chat_msg,310.229,1,
4.809293,10039,chat_msg,309.792,1,
4.839322,10048,start,30.579,1,
4.855344,10029,chat_msg,308.721,1,
4.855428,10024,chat_msg,308.603,1,
4.855488,10034,chat_msg,309.092,1,
4.886405,10040,chat_msg,309.487,1,
4.886482,10048,new_chat,47.091,1,
4.901826,10045,chat_msg,309.500,1,
4.902635,10022,exit_chat,31.592,1,
4.917737,10035,chat_msg,308.665,1,
4.917801,10030,chat_msg,309.439,1,
4.917845,10025,chat_msg,309.024,1,
4.947751,10049,start,45.428,1,
4.994344,10046,chat_msg,308.851,1,
4.994429,10049,new_chat,46.597,1,
4.995601,10023,exit_chat,31.649,1,
4.995799,10041,chat_msg,295.375,1,
5.025389,10036,chat_msg,309.795,1,
5.040841,10050,start,31.188,1,
5.057074,10031,chat_msg,309.957,1,
5.057147,10026,chat_msg,309.778,1,
5.088366,10050,new_chat,47.453,1,
5.089157,10047,chat_msg,296.053,1,
5.089220,10042,chat_msg,295.745,1,
5.089911,10024,exit_chat,32.368,1,
5.120412,10037,chat_msg,310.728,1,
5.120476,10032,chat_msg,311.111,1,
5.120523,10027,chat_msg,296.488,1,
5.135431,10051,start,32.362,1,
5.166541,10025,exit_chat,46.383,1,
5.182593,10051,new_chat,47.069,1,
5.198060,10048,chat_msg,311.522,1,
5.213605,10043,chat_msg,311.677,1,
5.213692,10033,chat_msg,296.673,1,
5.213749,10038,chat_msg,296.285,1,
5.244880,10052,start,31.750,1,
5.261917,10028,chat_msg,298.405,1,
5.292672,10052,new_chat,47.700,1,
5.293092,10049,chat_msg,298.605,1,
5.293629,10026,exit_chat,32.163,1,
5.307864,10044,chat_msg,297.777,1,
5.307938,10039,chat_msg,297.560,1,
5.339284,10053,start,31.860,1,
5.354562,10034,chat_msg,296.801,1,
5.354625,10029,chat_msg,297.417,1,
5.369866,10027,exit_chat,45.867,1,
5.386406,10053,new_chat,47.022,1,
5.386916,10050,chat_msg,298.503,1,
5.386976,10040,chat_msg,298.972,1,
5.402236,10045,chat_msg,298.747,1,
5.418491,10030,chat_msg,298.582,1,
5.418567,10035,chat_msg,298.977,1,
5.433578,10054,start,31.277,1,
5.480699,10054,new_chat,47.048,1,
5.481131,10051,chat_msg,298.463,1,
5.496611,10046,chat_msg,299.118,1,
5.496679,10041,chat_msg,298.852,1,
5.496761,10028,exit_chat,32.020,1,
5.527142,10036,chat_msg,297.811,1,
5.542208,10055,start,30.914,1,
5.558657,10031,chat_msg,297.816,1,
5.590131,10055,new_chat,47.866,1,
5.590368,10052,chat_msg,297.625,1,
5.590412,10047,chat_msg,298.546,1,
5.590452,10042,chat_msg,298.178,1,
5.590596,10029,exit_chat,32.137,1,
5.622045,10032,chat_msg,298.273,1,
5.622104,10037,chat_msg,298.652,1,
5.637358,10056,start,31.951,1,
5.667644,10030,exit_chat,46.270,1,
5.684001,10056,new_chat,46.571,1,
5.684259,10053,chat_msg,297.767,1,
5.699475,10048,chat_msg,297.572,1,
5.715070,10033,chat_msg,297.147,1,
5.715119,10038,chat_msg,296.912,1,
5.715159,10043,chat_msg,297.604,1,
5.745496,10057,start,30.738,1,
5.777278,10054,chat_msg,296.504,1,
5.793127,10057,new_chat,47.539,1,
5.793344,10049,chat_msg,297.212,1,
5.793410,10031,exit_chat,31.857,1,
5.808711,10044,chat_msg,297.132,1,
5.808756,10039,chat_msg,296.987,1,
5.839633,10058,start,31.208,1,
5.855008,10034,chat_msg,296.798,1,
5.870619,10032,exit_chat,46.929,1,
5.886717,10058,new_chat,47.015,1,
5.902033,10055,chat_msg,311.860,1,
5.902082,10040,chat_msg,312.171,1,
5.902119,10050,chat_msg,312.509,1,
5.918214,10045,chat_msg,312.358,1,
5.918289,10035,chat_msg,296.507,1,
5.932470,10059,start,30.309,1,
5.962463,10033,exit_chat,45.147,1,
5.978264,10059,new_chat,45.697,1,
5.993048,10051,chat_msg,309.408,1,
5.993148,10056,chat_msg,309.103,1,
6.009317,10046,chat_msg,310.398,1,
6.009377,10041,chat_msg,310.133,1,
6.039559,10036,chat_msg,309.218,1,
6.039647,10060,start,30.630,1,
6.086415,10060,new_chat,46.711,1,
6.102209,10057,chat_msg,309.043,1,
6.102280,10052,chat_msg,309.854,1,
6.102336,10047,chat_msg,309.588,1,
6.102382,10042,chat_msg,309.440,1,
6.102799,10034,exit_chat,32.182,1,
6.133830,10037,chat_msg,309.750,1,
6.133885,10061,start,31.439,1,
6.180417,10035,exit_chat,46.792,1,
6.180612,10061,new_chat,46.694,1,
6.196607,10053,chat_msg,310.187,1,
6.196659,10058,chat_msg,309.904,1,
